track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,time_signature
34msPuWKiwgxvV4fBfxOwT,Break Out,Soulive,0.746,0.59,1,-9.81,1,0.114,0.0138,0.465,0.361,0.618,88.876,270,4
6ELRpNKL041qtxxi6YnxZI,One In Seven,Soulive,0.721,0.69,7,-6.86,1,0.0461,0.00786,0.766,0.116,0.579,120.59,318,4
0Zi1nMRG2LFvsLJa8LAcUA,Dolla Diva (feat. David Shaw and Maggie Koerner),Galactic,0.66,0.783,2,-5.439,1,0.0819,0.11,0.000987,0.0713,0.873,94.936,213,4
2ZzitfDmPR8SZ1gLNBaZBs,Sounds Like a Party,Lettuce,0.761,0.94,7,-4.305,1,0.05,0.0167,0.381,0.706,0.716,104.044,212,4
0JZpLis59RbKAC1gz5bLZl,Damn!,The Motet,0.723,0.771,11,-6.155,0,0.0672,0.184,0,0.295,0.943,108.026,300,4
369II3IdMkRi6tZ9kalEui,Daily Bread,Martin Luther,0.731,0.499,1,-4.146,0,0.043,0.0576,0.0000285,0.649,0.777,82.001,270,4
0c6pRcSQxU5BvOMfVGiXSM,It Ain't What You Got (feat. John Turrell),The Haggis Horns,0.675,0.88,4,-7.351,0,0.0481,0.0746,0.0000277,0.0649,0.927,107.955,315,4
0SbvEJlshGh8hCYhxNVNEB,Endemism,Osaka Monaurail,0.652,0.716,2,-7.264,0,0.0318,0.0346,0.86,0.0593,0.961,86.682,345,4
62OcNhoMT6msCLNfe9OZKO,La Nueva Manera featuring Snowboy,Speedometer,0.556,0.799,10,-6.829,0,0.0435,0.00134,0.756,0.17,0.977,119.107,241,4
1F8FOSp9RZ2MciYto5V47P,Take Me On,Speedometer,0.761,0.821,5,-6.309,0,0.0321,0.00873,0.00423,0.147,0.905,106.401,222,4
06u7kUlGBHE26tzB0vANF7,Jealous,Diplomats of Solid Sound,0.609,0.858,0,-5.019,0,0.0494,0.0165,0.0812,0.0644,0.933,104.422,181,4
0W7Z9edIuagr1TmOTzNVMW,Little Love,The Soul Snatchers,0.797,0.791,4,-6.282,0,0.108,0.242,0.000111,0.0694,0.962,78.01,278,4
3XdtfkqsjOEFwT1peCV8b9,Cook It Up (feat. P.F.A.C.),Aesop Rock,0.782,0.724,1,-7.503,1,0.408,0.505,0,0.639,0.764,82.089,226,4
