"track_id","track_name","track_artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_sec","time_signature"
"2aNGaSTJcM4XszZlkeC46n","Come On in This House (feat. Homemade Jamz Band)","Elvin Bishop","0.506","0.588","2","-8.995","1","0.0306","0.0185","0.0000166","0.0589","0.362","103.069","220","4"
"2rPjWpn76p5oK7MOW4KvTh","Your Name Here","Atmosphere","0.804","0.458","0","-5.997","1","0.0302","0.162","0.00000258","0.0964","0.158","87.016","217","4"
"50PvjebDhu2VQ84VxYjvVI","Selfless, Cold and Composed (feat. The Sacramento State Jazz Singers) - University A Cappella Version","Ben Folds","0.419","0.529","7","-8.677","1","0.044","0.653","0.00000144","0.124","0.32","82.564","384","4"
"0mnxmqbLPurbEtNt22BrKE","Someone Else's Clothes","Jason Robert Brown","0.637","0.697","0","-5.543","1","0.0912","0.297","0","0.0888","0.554","90.096","330","4"
"5Qyeh1HqfGKJFLFMugpcgv","Diamonds and Gold","Firewater","0.749","0.355","11","-10.861","0","0.0347","0.381","0.000329","0.0854","0.542","128.362","233","4"
"44JCg1QvEQkWqmdtRaZnUa","City Lights & Traffic Sounds","The Reign of Kindo","0.568","0.672","11","-9.177","0","0.0303","0.463","0.00367","0.354","0.329","102.899","236","4"
"5cxBXZslPlWsIfQ8Pwf7Qr","Greasy Louise","Chad Smith's Bombastic Meatbats","0.524","0.677","7","-8.909","1","0.0358","0.00857","0.78","0.476","0.497","102.86","244","4"
"3EwGjMi96oleNxtlXXoonW","Atomic","Truckfighters","0.404","0.759","1","-6.309","0","0.0597","0.0607","0.511","0.176","0.797","82.371","308","4"
"7wgrVZNufwBsiLb12VjdWv","Krank","KMFDM","0.542","0.847","10","-7.37","0","0.0343","0.0000136","0.791","0.126","0.241","129.975","310","4"
"0hgBLkZoVasP6l2w3nWbiI","Old Yella","Haferflocken Swingers","0.658","0.637","9","-5.726","0","0.0703","0.253","0.0000203","0.649","0.736","109.347","249","4"
"5V2bdNuCVbGJG8ztqJQb1r","40 Bars","Movits!","0.658","0.699","7","-4.856","1","0.324","0.259","0","0.353","0.792","66.564","94","5"
"3Fm514En3RXInsGJBgqvQc","Folsom Prison Blues","Jerobeam","0.691","0.748","10","-8.1","0","0.0385","0.017","0.0116","0.0885","0.968","92.202","241","4"
"2wahCAgkjS1zAnzaZy1cIs","Wonderbrass","The Clients Funk Society","0.783","0.754","4","-8.286","0","0.0379","0.0198","0.397","0.0249","0.651","123.396","206","4"
"6MP1nXFLIBUAsHDRGWlhOv","Knuckle Sandwich","Defunkt","0.82","0.727","10","-9.925","0","0.0637","0.0492","0.00218","0.297","0.861","119.678","247","4"
"7xqUrcModMRC4M6wpvYLRh","A Blow For Me, A Toot To You","Fred Wesley & The Horny Horns Featuring Maceo Parker","0.839","0.618","0","-8.868","0","0.29","0.178","0.181","0.0819","0.961","85.409","435","4"
"3s0cHTqkHRe335M1C0uKPs","Lowdown Stank","Breakestra","0.686","0.963","7","-3.211","1","0.0426","0.162","0.0663","0.0585","0.928","101.899","401","4"
"048sDFIhE2CzXGY5sF5o1t","Drivers Seat","The Flower Kings","0.306","0.732","9","-9.07","1","0.0734","0.00332","0.000429","0.0969","0.212","139.964","1101","4"
"3vPZNhkkhAupLlC9v3SrBj","Blue Veins","The Raconteurs","0.356","0.434","4","-9.361","0","0.0454","0.193","0.00565","0.134","0.0796","130.698","232","3"
"4QQU3p0Me4SdxfayEOU66N","Steamroller","Firebird","0.264","0.902","5","-5.109","0","0.124","0.00253","0.0398","0.186","0.432","83.595","306","4"
"1k7o67gk8hle7UfwC4t7bo","Downtown Tonight","Tyler Bryant & the Shakedown","0.445","0.698","11","-5.74","1","0.0307","0.421","0.0331","0.107","0.521","174.709","248","4"
"76o1OKnYwarhColk6NQZYX","Cold Blues","Quaker City Night Hawks","0.539","0.674","7","-6.838","1","0.0268","0.0468","0.0235","0.11","0.766","139.075","218","4"
"3l5onnbzAUvv7sPGyzIvyf","I'll Be Doggone","Albert King","0.525","0.577","0","-8.733","1","0.203","0.417","0.0000109","0.175","0.821","169.264","341","4"
"38KkuEgkcdrxOIbqijawtU","Hessian Peel","Opeth","0.37","0.731","9","-8.061","1","0.0527","0.00503","0.509","0.106","0.0934","123.602","686","4"
"3UwTk1QEuAdfwptvm9BDYF","Bomp","Bronk","0.616","0.683","2","-7.641","1","0.0588","0.0236","0.666","0.114","0.802","180.176","199","4"
"1VeQHMy01OoHh5sjEZdvOo","In The Winelight","Kurt Elling","0.695","0.301","8","-14.586","1","0.0397","0.432","0.00000802","0.0884","0.168","83.47","401","4"
"1QFd5qx4LaFkBlz1S9TmSd","Precious Memories","East Of The Wall","0.415","0.989","9","-5.895","0","0.121","0.0000161","0.936","0.195","0.209","163.967","304","4"
"0MF90HVWjjt5Q7iHFESdB6","Thrown","Cire","0.393","0.756","10","-6.433","0","0.0526","0.0397","0.0134","0.154","0.491","106.405","391","3"
