artists,artist_count,deceased
benny blanco,1,0
Ariana Grande,2,0
Migos,2,0
Bebe Rexha,1,0
Dynoro,1,0
6ix9ine,1,0
Post Malone,6,0
Nio Garcia,1,0
Ti?sto,1,0
Eminem,1,0
Clean Bandit,2,0
Shawn Mendes,1,0
Dua Lipa,2,0
Khalid,2,0
5 Seconds of Summer,1,0
Rich The Kid,1,0
Portugal. The Man,1,0
Maroon 5,2,0
Offset,1,0
Bazzi,1,0
Zedd,1,0
Imagine Dragons,2,0
DJ Snake,1,0
Becky G,1,0
Zac Efron,1,0
XXXTENTACION,6,1
Juice WRLD,1,0
Natti Natasha,1,0
NF,1,0
Cardi B,1,0
Luis Fonsi,1,0
Jonas Blue,1,0
Ozuna,2,0
Sam Smith,1,0
Camila Cabello,2,0
Tyga,1,0
G-Eazy,1,0
David Guetta,1,0
BlocBoy JB,1,0
Keala Settle,1,0
Lauv,1,0
Loud Luxury,1,0
Drake,4,0
Marshmello,3,0
Maluma,1,0
DJ Khaled,1,0
Billie Eilish,1,0
Calvin Harris,2,0
The Weeknd,2,0
Lil Baby,1,0
Bruno Mars,1,0
Nicky Jam,1,0
Kendrick Lamar,2,0
ZAYN,1,0
Lil Uzi Vert,1,0
Sofia Reyes,1,0
Anitta,1,0
Anne-Marie,1,0
Reik,1,0
Dean Lewis,1,0
Hailee Steinfeld,1,0
Travis Scott,1,0
Daddy Yankee,1,0
Dennis Lloyd,1,0
Lil Dicky,1,0
Rudimental,1,0
Wolfine,1,0
Piso 21,1,0
Selena Gomez,2,0
Ed Sheeran,3,0
