danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.506,0.588,2,-8.995,1,0.0306,0.0185,0.0000166,0.0589,0.362,103.069,audio_features,2aNGaSTJcM4XszZlkeC46n,spotify:track:2aNGaSTJcM4XszZlkeC46n,https://api.spotify.com/v1/tracks/2aNGaSTJcM4XszZlkeC46n,https://api.spotify.com/v1/audio-analysis/2aNGaSTJcM4XszZlkeC46n,219947,4
0.804,0.458,0,-5.997,1,0.0302,0.162,0.00000258,0.0964,0.158,87.016,audio_features,2rPjWpn76p5oK7MOW4KvTh,spotify:track:2rPjWpn76p5oK7MOW4KvTh,https://api.spotify.com/v1/tracks/2rPjWpn76p5oK7MOW4KvTh,https://api.spotify.com/v1/audio-analysis/2rPjWpn76p5oK7MOW4KvTh,217293,4
0.419,0.529,7,-8.677,1,0.044,0.653,0.00000144,0.124,0.32,82.564,audio_features,50PvjebDhu2VQ84VxYjvVI,spotify:track:50PvjebDhu2VQ84VxYjvVI,https://api.spotify.com/v1/tracks/50PvjebDhu2VQ84VxYjvVI,https://api.spotify.com/v1/audio-analysis/50PvjebDhu2VQ84VxYjvVI,383507,4
0.637,0.697,0,-5.543,1,0.0912,0.297,0,0.0888,0.554,90.096,audio_features,0mnxmqbLPurbEtNt22BrKE,spotify:track:0mnxmqbLPurbEtNt22BrKE,https://api.spotify.com/v1/tracks/0mnxmqbLPurbEtNt22BrKE,https://api.spotify.com/v1/audio-analysis/0mnxmqbLPurbEtNt22BrKE,330000,4
0.749,0.355,11,-10.861,0,0.0347,0.381,0.000329,0.0854,0.542,128.362,audio_features,5Qyeh1HqfGKJFLFMugpcgv,spotify:track:5Qyeh1HqfGKJFLFMugpcgv,https://api.spotify.com/v1/tracks/5Qyeh1HqfGKJFLFMugpcgv,https://api.spotify.com/v1/audio-analysis/5Qyeh1HqfGKJFLFMugpcgv,232733,4
0.568,0.672,11,-9.177,0,0.0303,0.463,0.00367,0.354,0.329,102.899,audio_features,44JCg1QvEQkWqmdtRaZnUa,spotify:track:44JCg1QvEQkWqmdtRaZnUa,https://api.spotify.com/v1/tracks/44JCg1QvEQkWqmdtRaZnUa,https://api.spotify.com/v1/audio-analysis/44JCg1QvEQkWqmdtRaZnUa,235853,4
0.524,0.677,7,-8.909,1,0.0358,0.00857,0.78,0.476,0.497,102.86,audio_features,5cxBXZslPlWsIfQ8Pwf7Qr,spotify:track:5cxBXZslPlWsIfQ8Pwf7Qr,https://api.spotify.com/v1/tracks/5cxBXZslPlWsIfQ8Pwf7Qr,https://api.spotify.com/v1/audio-analysis/5cxBXZslPlWsIfQ8Pwf7Qr,244420,4
0.404,0.759,1,-6.309,0,0.0597,0.0607,0.511,0.176,0.797,82.371,audio_features,3EwGjMi96oleNxtlXXoonW,spotify:track:3EwGjMi96oleNxtlXXoonW,https://api.spotify.com/v1/tracks/3EwGjMi96oleNxtlXXoonW,https://api.spotify.com/v1/audio-analysis/3EwGjMi96oleNxtlXXoonW,308147,4
0.542,0.847,10,-7.37,0,0.0343,0.0000136,0.791,0.126,0.241,129.975,audio_features,7wgrVZNufwBsiLb12VjdWv,spotify:track:7wgrVZNufwBsiLb12VjdWv,https://api.spotify.com/v1/tracks/7wgrVZNufwBsiLb12VjdWv,https://api.spotify.com/v1/audio-analysis/7wgrVZNufwBsiLb12VjdWv,309693,4
0.658,0.637,9,-5.726,0,0.0703,0.253,0.0000203,0.649,0.736,109.347,audio_features,0hgBLkZoVasP6l2w3nWbiI,spotify:track:0hgBLkZoVasP6l2w3nWbiI,https://api.spotify.com/v1/tracks/0hgBLkZoVasP6l2w3nWbiI,https://api.spotify.com/v1/audio-analysis/0hgBLkZoVasP6l2w3nWbiI,248800,4
